Activity,Sleep,psg
208,10,1
97,10,1
35,10,1
107,10,1
176,10,1
208,10,1
59,10,1
129,10,1
64,10,1
41,10,1
120,10,1
55,10,1
21,10,1
6,10,1
7,10,1
46,10,1
16,10,1
11,10,1
97,10,1
143,10,1
13,10,1
23,10,1
29,10,1
27,10,1
19,10,1
14,10,1
13,10,1
16,10,1
57,10,1
17,10,1
19,10,1
13,10,1
33,10,1
23,10,1
29,10,1
53,10,1
11,10,1
13,10,1
5,10,1
32,10,1
9,10,1
14,10,1
29,10,1
53,10,1
22,10,1
31,10,1
33,10,1
80,10,1
21,10,1
15,10,1
10,10,1
11,10,1
66,10,1
1,10,1
25,10,1
55,10,1
77,10,1
59,10,1
11,10,1
34,10,1
9,10,1
21,10,1
34,10,1
13,10,1
22,10,1
10,10,1
14,10,1
34,10,1
57,10,1
33,10,1
17,10,1
43,10,1
21,10,1
62,10,1
62,10,1
11,10,1
37,10,1
90,10,1
90,10,1
57,10,1
29,10,1
48,10,1
94,10,1
87,10,1
87,10,1
66,10,1
41,10,1
57,10,1
83,10,1
80,10,1
59,10,1
59,10,1
101,10,1
6,10,1
80,10,1
73,10,1
129,10,1
107,10,1
48,10,1
129,10,1
50,10,1
50,10,1
73,10,1
39,10,1
120,10,1
77,10,1
16,10,1
33,10,1
6,10,1
6,10,1
11,10,1
11,10,1
3,10,1
111,10,1
8,10,1
1,10,1
10,10,1
34,10,1
8,10,1
19,10,1
43,10,1
66,10,1
50,10,1
23,10,1
35,10,1
43,10,1
64,10,1
59,10,1
50,10,1
115,10,1
26,10,1
71,10,1
115,10,1
27,10,1
33,10,1
69,10,1
101,10,1
101,10,1
129,10,1
77,10,1
104,10,1
246,10,1
125,10,1
17,10,1
90,10,1
39,10,1
59,10,1
14,10,1
83,10,1
15,10,1
176,10,1
10,10,1
29,10,1
25,10,1
0,10,1
21,10,1
21,10,1
10,10,1
23,10,1
0,10,1
46,10,1
0,10,1
0,10,1
62,10,1
0,10,1
0,10,1
0,10,1
0,10,1
0,10,1
0,10,1
0,10,1
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
64,3,0
0,3,0
41,3,0
0,3,0
0,3,0
0,3,0
0,1,0
0,2,0
1,1,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
17,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
83,3,0
0,3,0
50,3,0
55,3,0
0,3,0
0,3,0
0,10,1
0,10,1
0,10,1
0,1,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
13,5,0
0,5,0
0,5,0
0,5,0
0,5,0
0,5,0
0,5,0
5,5,0
1,5,0
0,5,0
0,5,0
0,5,0
0,5,0
0,1,0
0,1,0
0,1,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
